,brand,model,model_year,list_price,color,configration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,dealer_address
188,Saab,9-3,2011,"$7,990",Black,Turbo4 XWD **LEATHER-ROOF-ALLOYS-TRADE-IN SPECIAL**,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"149,000",https://www.carproof.com/order?ref=kijiji&vin=YS3FA4BYXB1303245,"301 Weston Road, Toronto, ON, M6N 3P1"
189,Other,Other,2022,"$17,585",Black,850 ET,Used,Other,All-wheel drive (AWD),Automatic,Gasoline,78,https://www.carproof.com/order?ref=kijiji&vin=2BPSUGNA6NV000287,"2430 Finch Ave West,, North York, ON, M9M 2E1"
190,Mercedes-Benz,S-Class,2009,"$16,385",Silver,//AMG | NAVI | BI-XENON | MB SERVICED,Used,Sedan,All-wheel drive (AWD),Automatic,Other,"120,805",https://www.carproof.com/order?ref=kijiji&vin=WDDNF84X99A257097,na
191,Honda,Civic,2018,"$25,500",Red,EX-T SUNROOF CAMERA A/CARPLAY B/SPOT L/ASSISST,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"98,362",https://www.carproof.com/order?ref=kijiji&vin=2HGFC1F4XJH107136,"1235 Finch Ave. W., Toronto, ON, M3J 2G4"
192,Acura,RDX,2019,"$39,850",White,Tech | NAVIGATION | SUNROOF | LEATHER,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"34,003",na,na
193,Other,Other,2019,"$35,990",Red,HIGHLINE AWD 7PASS LEATHER PANO/ROOF B/SPOT CAMERA,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"119,247",https://www.carproof.com/order?ref=kijiji&vin=1V2MR2CA8KC511235,"1235 Finch Ave. W., Toronto, ON, M3J 2G4"
194,Toyota,Corolla,2018,"$24,980",Black,na,Used,Sedan,Front-wheel drive (FWD),Automatic,Other,"53,521",https://www.carproof.com/order?ref=kijiji&vin=2T1BURHE7JC073794,"2555 Steeles Avenue West, North York, ON, M3J 2P1"
195,Honda,Accord,2018,"$21,998",Silver,SPORT l CLEAN CARFAX l LKA l ROO,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"209,705",https://www.carproof.com/order?ref=kijiji&vin=1HGCV1F39JA812092,na
196,Lexus,Other,2017,"$28,495",Grey,300 AWD,Used,Sedan,All-wheel drive (AWD),Automatic,Other,"101,856",https://www.carproof.com/order?ref=kijiji&vin=JTHCM1D24H5021580,na
197,Acura,TL,2005,"$5,000",na,na,Used,Sedan,na,na,na,"300,000",na,na
198,Hyundai,Elantra,2016,"$11,499",Grey,GLS,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"149,030",https://www.carproof.com/order?ref=kijiji&vin=KMHDH4AH2GU492177,"6515 KINGSTON RD, Scarborough, ON, M1C 1L5"
199,Land Rover,Range Rover Evoque,2013,"$19,950",Red,Pure,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,"160,155",https://www.carproof.com/order?ref=kijiji&vin=SALVT2BG0DH780598,"3264 Danforth Avenue, Toronto, ON, M1L 1C3"
200,Nissan,MICRA,2018,"$9,900",Grey,"SR, ALLOY WHEELS",Used,Hatchback,Front-wheel drive (FWD),Automatic,Gasoline,"154,000",na,"Unit 14B-4610 Dufferin Street, North York,, ON, M3H 5S4"
201,BMW,Z4,2006,"$18,500",na,na,Used,Coupe (2 door),na,na,na,"117,000",na,"2135 Victoria Park Ave, Scarborough, ON M1R 4B7"
202,Honda,Civic,2018,"$18,950",Black,SE,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"217,899",na,"3264 Danforth Avenue, Toronto, ON, M1L 1C3"
203,Ford,Mustang,2004,"$25,000",na,na,Used,Convertible,Rear-wheel drive (RWD),Manual,na,"83,000",na,na
204,Infiniti,EX35,2012,"$12,900",White,TOURING,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"1,280,000",na,na
205,Ford,Other,2017,"$42,488",White,E-450 - 16Ft Box + Ramp - ALL SERVICE RECORDS,Used,"Minivan, Van",Rear-wheel drive (RWD),na,Gasoline,"135,000",na,na
206,Mercedes-Benz,C-Class,2013,"$15,895",White,C350 4MATIC Sport Sedan,Used,Sedan,4 x 4,Automatic,Other,"130,603",https://www.carproof.com/order?ref=kijiji&vin=WDDGF8JB3DA766743,na
207,Dodge,Power Ram 1500,2010,na,Blue,Slt Hemi,Used,Pickup Truck,4 x 4,Automatic,Gasoline,187,na,"Toronto, ON M4Y 1X7"
208,Kia,Optima,2015,"$8,995",Grey,Navigation Leather Panoramic Sunroof One Owner Clean Carfax,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"221,000",https://www.carproof.com/order?ref=kijiji&vin=Knagn4a71f5555261,"3406 Kingston Road, Toronto, ON, M1M 1R2"
209,BMW,X5,2009,"$7,000",na,Diesel,Used,"SUV, Crossover",na,na,na,"235,000",na,"Pickering, ON L1V 1P4"
210,Audi,A4,2016,"$18,950",White,Komfort plus,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"151,738",https://www.carproof.com/order?ref=kijiji&vin=WAUBFCFL7GN007449,na
211,Audi,A5,2010,"$18,990",Black,Premium,Used,Convertible,na,Automatic,Gasoline,"137,200",na,"Vaughan, ON, L4J, CA"
212,Scion,Other,2016,"$13,500",Silver,4dr HB,Used,Hatchback,Front-wheel drive (FWD),Automatic,Gasoline,"167,094",https://www.carproof.com/order?ref=kijiji&vin=JTNKARJEXGJ520260,"4 Vanley Cres., North York, ON, M3J 2B8"
213,Toyota,Corolla,2022,"$33,588",White,XLE,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"13,472",na,na
214,Toyota,Highlander,2020,"$44,888",Blue,XLE,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"31,617",na,na
215,Honda,HR-V,2016,"$16,888",Grey,LX,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"214,827",na,na
216,Toyota,Camry,2023,"$36,888",Black,SE,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"7,223",na,"7080 Dufferin Street, Vaughan, ON, L4K 0A1"
217,Toyota,Camry,2023,"$36,188",White,SE,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"9,494",na,"7080 Dufferin Street, Vaughan, ON, L4K 0A1"
218,Mercedes-Benz,B-Class,2009,"$5,995",Red,na,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"166,641",https://www.carproof.com/order?ref=kijiji&vin=WDDFH33X59J478943,"Lindsey Avenue, Toronto, ON"
219,Honda,Civic,2016,"$14,995",na,EX,Used,Sedan,na,na,na,"232,000",na,"1138 Kennedy Rd, Scarborough, ON M1P"
220,Honda,Accord,2020,"$32,950",Red,TOURING | Nav | HUD | ACC | LaneKeep | CarPlay,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"99,000",na,na
221,Mazda,CX-5,2021,"$34,998",Grey,"GT REMOTE START, LEATHER, 19ALLOYS, CPO",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Other,"52,891",na,"7635 Martin Grove, Woodbridge, ON, L4L 2C5"
222,Ford,Edge,2008,"$11,480",White,SEL,Used,"SUV, Crossover",Front-wheel drive (FWD),Automatic,Other,"91,737",https://www.carproof.com/order?ref=kijiji&vin=2FMDK38C98BB13446,"2555 Steeles Avenue West, North York, ON, M3J 2P1"
223,BMW,X1,2022,"$45,000",White,XDrive28i | Certified Series | No Accidents,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"17,462",na,"11 Sunlight Park Road, Toronto, ON, M4M 1B5"
224,Chevrolet,Malibu,2017,"$12,800",Red,LT,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"163,000",https://www.carproof.com/order?ref=kijiji&vin=1G1ZE5ST7HF269949,na
225,Ford,Other,2017,"$40,888",White,E-450 - 16Ft Box - Ramp - Gasoline,Used,"Minivan, Van",Rear-wheel drive (RWD),Automatic,Gasoline,"159,000",na,"80 Toro Road, Toronto, ON, M3J 2A8"
226,Ford,F-150,2018,"$25,900",White,V8 4X4 SUPERCREW 5.5' BOX-CAMERA-BLUETOOTH-1 OWNER!,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"170,000",na,"16 Milford Avenue, Toronto, ON, M6M 2V8"
227,Lexus,Other,2017,"$28,495",Grey,300 AWD,Used,Sedan,All-wheel drive (AWD),Automatic,Other,"101,856",https://www.carproof.com/order?ref=kijiji&vin=JTHCM1D24H5021580,na
228,Acura,TL,2005,"$5,000",na,na,Used,Sedan,na,na,na,"300,000",na,na
229,Hyundai,Elantra,2016,"$11,499",Grey,GLS,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"149,030",https://www.carproof.com/order?ref=kijiji&vin=KMHDH4AH2GU492177,"6515 KINGSTON RD, Scarborough, ON, M1C 1L5"
230,Land Rover,Range Rover Evoque,2013,"$19,950",Red,Pure,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,"160,155",https://www.carproof.com/order?ref=kijiji&vin=SALVT2BG0DH780598,"3264 Danforth Avenue, Toronto, ON, M1L 1C3"
231,Nissan,MICRA,2018,"$9,900",Grey,"SR, ALLOY WHEELS",Used,Hatchback,Front-wheel drive (FWD),Automatic,Gasoline,"154,000",na,na
232,BMW,Z4,2006,"$18,500",na,na,Used,Coupe (2 door),na,na,na,"117,000",na,na
233,Honda,Civic,2018,"$18,950",Black,SE,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"217,899",na,na
